well,n_days,rain_mm,n_pumping,lag_day,k,z,sy_avg,cc,rmse_m,rch_filtered_pct,rch_raw_pct,reduction_pp,secs
SH08,345,884.0,4,0,-0.01442,2.64,0.047,0.941,0.0766,27.47,27.47,0.0,3.1
SH11,344,884.0,0,0,-0.00536,0.5,0.0455,0.981,0.0552,9.47,12.14,2.68,3.5
SH22,334,863.0,21,0,-0.00338,3.51,0.0727,0.902,0.1785,36.03,42.91,6.88,2.7
SH23,318,822.0,2,0,-0.00276,2.47,0.0392,0.962,0.0902,13.12,13.13,0.01,2.9
SH28,313,813.0,2,0,-0.0011,0.5,0.0413,0.967,0.072,6.86,6.92,0.06,2.2
SYN_S1,1825,4750.0,9,8,-0.00634,5.0,0.0342,0.954,0.0678,1.78,0.23,-1.55,13.3
SYN_S2,1825,4750.0,9,8,-0.00629,5.0,0.0342,0.952,0.0679,1.78,0.23,-1.55,12.6
SYN_S3,1825,4750.0,12,13,-0.00766,0.5,0.0334,0.933,0.0961,0.6,0.38,-0.23,11.7
SYN_S4,1825,4750.0,10,8,-0.00655,5.0,0.0358,0.941,0.0773,1.98,0.4,-1.58,11.5
SYN_S5,1825,4750.0,9,8,-0.00547,0.92,0.0366,0.947,0.0677,2.74,0.24,-2.5,13.1
